TERM,ACAD_CAREER,COURSE CODE,CLASS SECTION,CLASS NUMBER,F2F lecture in alternate weeks,START DATE,END DATE,MON,TUE,WED,THU,FRI,SAT,SUN,VENUE,START TIME,END TIME,COURSE TITLE,OFFER DEPT,INSTRUCTOR
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-09-01,2022-10-06,,,,THU,,,,CBA,10:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-09-01,2022-10-06,,,,THU,,,,,09:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-09-06,2022-09-27,,TUE,,,,,,MWT5,10:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-09-06,2022-09-27,,TUE,,,,,,,09:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-10-18,2022-11-29,,TUE,,,,,,MWT5,10:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-10-18,2022-11-29,,TUE,,,,,,,09:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-10-20,2022-11-24,,,,THU,,,,CBA,10:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-10-20,2022-12-01,,,,THU,,,,,09:30,12:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-11-24,2022-11-24,,,,THU,,,,CPD-LG.34,09:30,10:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-11-24,2022-11-24,,,,THU,,,,,10:30,13:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-11-29,2022-11-29,,TUE,,,,,,MWT5,09:30,10:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2004,1A,2399,,2022-11-29,2022-11-29,,TUE,,,,,,,10:30,13:20,Human Anatomy,School of Biomedical Sciences,"Cecot,Tomasz Stanislaw; Chang,Chuen Chung Raymond; Cheung,Annie; Ching,Yick Pang; DRBCDF,Guilherme; Huen,Shing Yan Michael; Liu,Rong; Yang,Jian"
2022-23 Sem 1,UGME,BBMS2006,1A,2692,,2022-09-02,2022-12-02,,,,,FRI,,,MWT4,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Chan,Ying Shing; Fung,Man Lung; Lee,Kai Fai Calvin; Lim,Lee Wei; Shiu,Yuen Wing Stephen"
2022-23 Sem 1,UGME,BBMS2006,1A,2692,,2022-09-02,2022-12-02,,,,,FRI,,,,09:30,12:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Chan,Ying Shing; Fung,Man Lung; Lee,Kai Fai Calvin; Lim,Lee Wei; Shiu,Yuen Wing Stephen"
2022-23 Sem 1,UGME,BBMS2006,1A,2692,,2022-09-05,2022-09-05,MON,,,,,,,KB223,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Chan,Ying Shing; Fung,Man Lung; Lee,Kai Fai Calvin; Lim,Lee Wei; Shiu,Yuen Wing Stephen"
2022-23 Sem 1,UGME,BBMS2006,1A,2692,,2022-09-19,2022-11-28,MON,,,,,,,KB223,08:30,10:20,Physiological Basis of Health and Disease,School of Biomedical Sciences,"Chan,Ying Shing; Fung,Man Lung; Lee,Kai Fai Calvin; Lim,Lee Wei; Shiu,Yuen Wing Stephen"
2022-23 Sem 1,UGME,BBMS2007,1A,2693,,2022-09-01,2022-10-06,,,,THU,,,,MWT4,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Kwon,Sung Chul; Ti,Shih Chieh; Wong,Choi Wah Brian; Yuen,Bun Ho Bonny; Zhou,Zhongjun"
2022-23 Sem 1,UGME,BBMS2007,1A,2693,,2022-09-05,2022-09-05,MON,,,,,,,KKLG103,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Kwon,Sung Chul; Ti,Shih Chieh; Wong,Choi Wah Brian; Yuen,Bun Ho Bonny; Zhou,Zhongjun"
2022-23 Sem 1,UGME,BBMS2007,1A,2693,,2022-09-19,2022-10-03,MON,,,,,,,KKLG103,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Kwon,Sung Chul; Ti,Shih Chieh; Wong,Choi Wah Brian; Yuen,Bun Ho Bonny; Zhou,Zhongjun"
2022-23 Sem 1,UGME,BBMS2007,1A,2693,,2022-10-17,2022-11-28,MON,,,,,,,KKLG103,11:30,13:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Kwon,Sung Chul; Ti,Shih Chieh; Wong,Choi Wah Brian; Yuen,Bun Ho Bonny; Zhou,Zhongjun"
2022-23 Sem 1,UGME,BBMS2007,1A,2693,,2022-10-20,2022-11-24,,,,THU,,,,MWT4,09:30,10:20,Essential Molecular Biology,School of Biomedical Sciences,"Huang,Jiandong; Kwon,Sung Chul; Ti,Shih Chieh; Wong,Choi Wah Brian; Yuen,Bun Ho Bonny; Zhou,Zhongjun"
2022-23 Sem 1,UGME,BBMS2009,1A,3422,,2022-09-05,2022-09-05,MON,,,,,,,MB167,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2022-23 Sem 1,UGME,BBMS2009,1A,3422,,2022-09-07,2022-10-05,,,WED,,,,,MB167,10:30,13:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2022-23 Sem 1,UGME,BBMS2009,1A,3422,,2022-09-19,2022-10-03,MON,,,,,,,MB167,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2022-23 Sem 1,UGME,BBMS2009,1A,3422,,2022-10-17,2022-11-28,MON,,,,,,,MB167,13:30,14:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2022-23 Sem 1,UGME,BBMS2009,1A,3422,,2022-10-19,2022-11-30,,,WED,,,,,MB167,10:30,13:20,Introduction to Clinical Research,School of Biomedical Sciences,"Zhao,Jie; Zhi,Hui"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-09-02,2022-09-02,,,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-09-02,2022-10-07,,,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-09-07,2022-10-05,,,WED,,,,,LE9,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-09-07,2022-10-07,,,WED,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-10-19,2022-11-25,,,WED,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-10-19,2022-11-30,,,WED,,,,,LE9,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-10-21,2022-11-25,,,,,FRI,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3001,1A,1966,,2022-11-30,2022-11-30,,,WED,,,,,,14:30,16:20,Medical Microbiology,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Zhiwei; Gao,Peng; Kao,Yi Tsun Richard; Sridhar,Siddharth; To,Kai Wang Kelvin"
2022-23 Sem 1,UGME,BBMS3002,1A,1967,,2022-09-02,2022-10-07,,,,,FRI,,,MB103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki; Wong,Siu Lun; Yu,Cheng-Han"
2022-23 Sem 1,UGME,BBMS3002,1A,1967,,2022-09-06,2022-09-27,,TUE,,,,,,MB103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki; Wong,Siu Lun; Yu,Cheng-Han"
2022-23 Sem 1,UGME,BBMS3002,1A,1967,,2022-10-18,2022-11-29,,TUE,,,,,,MB103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki; Wong,Siu Lun; Yu,Cheng-Han"
2022-23 Sem 1,UGME,BBMS3002,1A,1967,,2022-10-21,2022-11-25,,,,,FRI,,,MB103,11:30,13:20,Molecular Biology of the Cell,School of Biomedical Sciences,"Cheung,Chi Hang Martin; Huen,Shing Yan Michael; Lee,Pui Yue Nikki; Wong,Siu Lun; Yu,Cheng-Han"
2022-23 Sem 1,UGME,BBMS3009,1A,1968,,2022-09-05,2022-09-05,MON,,,,,,,MB217,15:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Ho,Joshua Wing Kei; Huang,Yuanhua; Sham,Pak Chung; Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2022-23 Sem 1,UGME,BBMS3009,1A,1968,,2022-09-06,2022-09-27,,TUE,,,,,,MB217,16:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Ho,Joshua Wing Kei; Huang,Yuanhua; Sham,Pak Chung; Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2022-23 Sem 1,UGME,BBMS3009,1A,1968,,2022-09-19,2022-10-03,MON,,,,,,,MB217,15:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Ho,Joshua Wing Kei; Huang,Yuanhua; Sham,Pak Chung; Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2022-23 Sem 1,UGME,BBMS3009,1A,1968,,2022-10-17,2022-11-28,MON,,,,,,,MB217,15:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Ho,Joshua Wing Kei; Huang,Yuanhua; Sham,Pak Chung; Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2022-23 Sem 1,UGME,BBMS3009,1A,1968,,2022-10-18,2022-11-29,,TUE,,,,,,MB217,16:30,17:20,Genome Science,School of Biomedical Sciences,"Chung,Hon Yin Brian; Ho,Joshua Wing Kei; Huang,Yuanhua; Sham,Pak Chung; Song,You-qiang; Tang,Sze Man; Yang,Wanling"
2022-23 Sem 1,UGME,BBMS3010,1A,1969,,2022-09-02,2022-12-02,,,,,FRI,,,MW325,09:30,11:20,Emerging Infections,School of Biomedical Sciences,"Chan,Chi Wai Michael; Chen,Honglin; Chen,Zhiwei; Lam,Tsan Yuk; Yen,Hui-Ling"
2022-23 Sem 1,UGME,BBMS3011,1A,1970,,2022-09-01,2022-12-01,,,,THU,,,,MWT3,15:30,17:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2022-23 Sem 1,UGME,BBMS3011,1A,1970,,2022-09-06,2022-09-27,,TUE,,,,,,KKLG101,09:30,11:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2022-23 Sem 1,UGME,BBMS3011,1A,1970,,2022-10-11,2022-11-29,,TUE,,,,,,KKLG101,09:30,11:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2022-23 Sem 1,UGME,BBMS3011,1A,1970,,2022-11-24,2022-11-24,,,,THU,,,,,15:30,19:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2022-23 Sem 1,UGME,BBMS3011,1A,1970,,2022-11-29,2022-11-29,,TUE,,,,,,,09:30,13:20,Molecular Neuroscience,School of Biomedical Sciences,"Chan,Ying Shing; Chang,Chuen Chung Raymond; Cheung,Chi Hang Martin; Lai,Sau Wan Cora; Lee,Chi Wai; Lim,Lee Wei; Shum,Kwok Yan Daisy"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-09-01,2022-12-01,,,,THU,,,,,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-09-06,2022-09-27,,TUE,,,,,,MB142,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-10-11,2022-11-29,,TUE,,,,,,MB142,14:30,16:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-10-27,2022-10-27,,,,THU,,,,FMLMDL2,14:30,17:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-11-01,2022-11-08,,TUE,,,,,,FMLG-19,09:30,12:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-11-01,2022-11-22,,TUE,,,,,,FMLG-19,14:30,17:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-11-22,2022-11-22,,TUE,,,,,,FMLG-19,09:30,12:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-11-24,2022-11-24,,,,THU,,,,FMLSR4,14:30,17:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS3018,1A,3423,,2022-11-29,2022-11-29,,TUE,,,,,,LE7,16:30,17:20,Biomechanics and Biomedical Technologies,School of Biomedical Sciences,"Chan,Pui Barbara; Chu,Zhiqin; Hu,Yong; Lim,Lee Wei; Wang,Weiping; Yeung,Wai Kwok Kelvin"
2022-23 Sem 1,UGME,BBMS4001FY,FA,2354,,2022-09-04,2022-10-02,,,,,,,SUN,,16:30,18:20,Final Year Project,School of Biomedical Sciences,"Ching,Yick Pang; Jin,Dong-Yan"
